"No.","Time","Source","Destination","Protocol","Length","Info"
"47","0.860149","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","1026","Application Data"
"48","0.860478","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=6460 Ack=25238 Win=2072 Len=1340 [TCP PDU reassembled in 49]"
"49","0.860478","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","609","Application Data"
"50","1.031728","10.122.1.223","38.68.201.140","TCP","55","35945  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"51","1.206077","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=25238 Ack=5508 Win=799 Len=0"
"52","1.229415","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=25238 Ack=6460 Win=796 Len=0"
"53","1.229415","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=25238 Ack=7800 Win=791 Len=0"
"54","1.246507","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=25238 Ack=8335 Win=789 Len=0"
"55","1.249988","10.122.1.223","38.68.201.140","TCP","55","35950  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"56","1.253094","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","949","Application Data"
"57","1.253094","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","99","Application Data"
"58","1.253094","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","501","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"59","1.253289","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=8335 Ack=26565 Win=2067 Len=0"
"60","1.257995","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","101","Application Data"
"61","1.258097","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=8335 Ack=26592 Win=2072 Len=0"
"62","1.267274","38.68.201.140","10.122.1.223","TCP","54","443  >  35945 [ACK] Seq=1 Ack=2 Win=16159 Len=0"
"63","1.599110","38.68.201.140","10.122.1.223","TCP","54","443  >  35950 [ACK] Seq=1 Ack=2 Win=15453 Len=0"
"64","2.114201","10.122.1.223","52.223.2.229","TCP","55","35971  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"65","2.142153","10.122.1.223","34.98.64.218","TCP","55","35980  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"66","2.177733","10.122.1.223","35.213.7.90","TCP","55","35617  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"67","2.268668","52.223.2.229","10.122.1.223","TCP","66","443  >  35971 [ACK] Seq=1 Ack=2 Win=343 Len=0 SLE=1 SRE=2"
"68","2.301680","34.98.64.218","10.122.1.223","TCP","66","443  >  35980 [ACK] Seq=1 Ack=2 Win=1048 Len=0 SLE=1 SRE=2"
"69","2.333173","10.122.1.223","37.157.2.14","TCP","55","35976  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"70","2.351782","35.213.7.90","10.122.1.223","TCP","66","443  >  35617 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"71","2.547802","37.157.2.14","10.122.1.223","TCP","54","443  >  35976 [ACK] Seq=1 Ack=2 Win=142 Len=0"
"72","3.030524","10.122.1.223","185.106.33.48","TCP","55","36277  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"73","3.030563","10.122.1.223","185.106.33.48","TCP","55","36279  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1"
"74","3.277145","185.106.33.48","10.122.1.223","TCP","66","443  >  36277 [ACK] Seq=1 Ack=2 Win=100 Len=0 SLE=1 SRE=2"
"75","3.288614","185.106.33.48","10.122.1.223","TCP","66","443  >  36279 [ACK] Seq=1 Ack=2 Win=94 Len=0 SLE=1 SRE=2"
"76","3.742203","10.122.1.223","51.8.44.252","TCP","55","35167  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP PDU reassembled in 6598]"
"77","3.757503","10.122.1.223","51.8.44.252","TCP","55","35166  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP PDU reassembled in 6456]"
"78","3.804170","10.122.1.223","51.8.44.252","TCP","55","35168  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"79","3.835053","10.122.1.223","34.54.123.138","TCP","55","36029  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"80","3.888485","34.54.123.138","10.122.1.223","TCP","66","443  >  36029 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"81","3.990659","10.122.1.223","51.8.44.252","TLSv1.2","1414","Application Data"
"82","4.049961","2600:1f18:6593:f608:78e4:ddc4:e083:81a6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36036 [ACK] Seq=1 Ack=1 Win=17 Len=0"
"83","4.050061","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2600:1f18:6593:f608:78e4:ddc4:e083:81a6","TCP","74","[TCP ACKed unseen segment] 36036  >  443 [ACK] Seq=1 Ack=2 Win=253 Len=0"
"84","4.378019","10.122.1.223","35.212.104.44","TCP","55","36030  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"85","4.663328","35.212.104.44","10.122.1.223","TCP","66","443  >  36030 [ACK] Seq=1 Ack=2 Win=1076 Len=0 SLE=1 SRE=2"
"86","4.701529","7e:e5:3b:74:4f:3b","Intel_2a:2f:bf","ARP","42","Who has 10.122.1.223? Tell 10.122.1.246"
"87","4.701575","Intel_2a:2f:bf","7e:e5:3b:74:4f:3b","ARP","42","10.122.1.223 is at 34:e6:ad:2a:2f:bf"
"88","4.720582","10.122.1.223","51.8.44.252","TCP","55","35171  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"89","4.720734","10.122.1.223","35.212.104.44","TCP","55","36020  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1"
"90","4.978401","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2600:1f18:6593:f608:78e4:ddc4:e083:81a6","TCP","75","[TCP Keep-Alive] 36036  >  443 [ACK] Seq=0 Ack=2 Win=253 Len=1"
"91","5.040951","35.212.104.44","10.122.1.223","TCP","66","443  >  36020 [ACK] Seq=1 Ack=2 Win=1085 Len=0 SLE=1 SRE=2"
"92","5.100020","10.122.1.223","34.98.64.218","TCP","55","35972  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"93","5.224200","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2a00:1450:4019:815::2001","TCP","75","36049  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"94","5.274351","2600:1f18:6593:f608:78e4:ddc4:e083:81a6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","86","[TCP Previous segment not captured] 443  >  36036 [ACK] Seq=2 Ack=1 Win=17 Len=0 SLE=0 SRE=1"
"95","5.300967","34.98.64.218","10.122.1.223","TCP","66","443  >  35972 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"96","5.300967","2a00:1450:4019:815::2001","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","86","443  >  36049 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"97","5.586251","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2a00:1450:4019:810::200a","TCP","75","36048  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"98","5.586792","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=8335 Ack=26592 Win=2072 Len=1340 [TCP PDU reassembled in 99]"
"99","5.586792","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","1026","Application Data"
"100","5.587156","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","1414","36195  >  443 [ACK] Seq=10627 Ack=26592 Win=2072 Len=1340 [TCP PDU reassembled in 101]"
"101","5.587156","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TLSv1.2","609","Application Data"
"102","5.652936","2a00:1450:4019:810::200a","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","86","443  >  36048 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"103","5.842207","10.122.1.223","182.184.192.40","ICMP","1042","Echo (ping) request  id=0x0001, seq=230/58880, ttl=128 (reply in 105)"
"104","5.921596","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=26592 Ack=10627 Win=781 Len=0"
"105","5.931515","182.184.192.40","10.122.1.223","ICMP","1042","Echo (ping) reply    id=0x0001, seq=230/58880, ttl=52 (request in 103)"
"106","6.006607","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2600:1f10:4ce4:4a01:20cc:426e:3159:71a9","TCP","75","36297  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"107","6.013285","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","74","443  >  36195 [ACK] Seq=26592 Ack=12502 Win=774 Len=0"
"108","6.019514","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","949","Application Data"
"109","6.025643","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","99","Application Data"
"110","6.025643","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","625","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"111","6.025761","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=28043 Win=2072 Len=0"
"112","6.026053","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","1294","Application Data, Application Data, Application Data"
"113","6.026053","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=29263 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"114","6.026106","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=30483 Win=2072 Len=0"
"115","6.026262","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=30483 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"116","6.026302","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=31703 Win=2068 Len=0"
"117","6.027968","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=31703 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"118","6.032480","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=32923 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"119","6.032480","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=34143 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"120","6.032610","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=35363 Win=2072 Len=0"
"121","6.032855","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=35363 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"122","6.032855","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=36583 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"123","6.032949","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=37803 Win=2072 Len=0"
"124","6.038259","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=37803 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"125","6.038411","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=39023 Win=2068 Len=0"
"126","6.043933","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=39023 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"127","6.044461","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=40243 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"128","6.044461","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=41463 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"129","6.044563","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=42683 Win=2072 Len=0"
"130","6.044835","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=42683 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 131]"
"131","6.044835","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TLSv1.2","1294","Application Data"
"132","6.044909","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=45123 Win=2072 Len=0"
"133","6.045145","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=45123 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"134","6.045145","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=46343 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"135","6.045202","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=47563 Win=2072 Len=0"
"136","6.045804","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=47563 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"137","6.045899","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=48783 Win=2068 Len=0"
"138","6.050188","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=48783 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"139","6.050188","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=50003 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"140","6.050345","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=51223 Win=2072 Len=0"
"141","6.050617","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=51223 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"142","6.050617","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=52443 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"143","6.050723","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=53663 Win=2072 Len=0"
"144","6.051366","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=53663 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"145","6.051366","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=54883 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"146","6.051366","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [PSH, ACK] Seq=56103 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
"147","6.051497","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","2404:6800:4003:22::6","TCP","74","36195  >  443 [ACK] Seq=12502 Ack=57323 Win=2072 Len=0"
"148","6.056399","2404:6800:4003:22::6","2402:ad80:1f7:8b48:61bd:6b7b:da86:5eb5","TCP","1294","443  >  36195 [ACK] Seq=57323 Ack=12502 Win=774 Len=1220 [TCP PDU reassembled in 151]"
